,probeid,latlon,tz
589,17097,48.8805;2.3515,Europe/Paris
590,17098,43.6015;7.0115,Europe/Paris
591,17099,49.2815;-0.6985,Europe/Paris
592,17101,45.7475;5.1675,Europe/Paris
593,17104,48.5995;2.4275,Europe/Paris
594,17105,43.0895;5.8175,Europe/Paris
595,17108,50.6715;3.2075,Europe/Paris
596,17109,48.9815;1.9775,Europe/Paris
597,17110,45.7375;4.8575,Europe/Paris
598,17111,49.2075;4.0175,Europe/Paris
599,17114,43.5895;1.4175,Europe/Paris
600,17115,50.5695;3.1675,Europe/Paris
601,17121,48.8175;2.2985,Europe/Paris
602,17123,48.8485;2.5385,Europe/Paris
603,17124,48.8395;2.3185,Europe/Paris
604,17128,48.8615;2.3485,Europe/Paris
605,17129,48.7615;2.2885,Europe/Paris
606,17130,48.6575;2.2685,Europe/Paris
607,17131,47.1075;-1.1215,Europe/Paris
608,17132,48.7985;7.9885,Europe/Paris
609,17133,49.2485;4.0485,Europe/Paris
610,17138,48.4015;7.4985,Europe/Paris
611,17140,43.5775;1.4695,Europe/Paris
612,17143,45.2985;5.6295,Europe/Paris
613,17145,47.2395;-1.5805,Europe/Paris
614,17146,49.6405;-1.5705,Europe/Paris
615,17147,48.4805;2.3295,Europe/Paris
616,17148,47.6415;7.2295,Europe/Paris
617,17149,46.8615;-0.4505,Europe/Paris
618,17151,49.5175;5.7595,Europe/Paris
619,17153,48.8585;2.3795,Europe/Paris
620,17154,48.8095;7.7895,Europe/Paris
621,17157,43.5505;5.1895,Europe/Paris
622,17158,48.9915;2.2795,Europe/Paris
623,17159,48.5315;3.3095,Europe/Paris
624,17162,48.5285;-2.5695,Europe/Paris
625,17165,48.8195;2.3805,Europe/Paris
626,17171,48.6875;7.8905,Europe/Paris
627,17174,45.5595;5.9705,Europe/Paris
628,17175,47.8395;1.9305,Europe/Paris
629,17179,48.8915;2.3505,Europe/Paris
630,17181,43.6375;1.4515,Europe/Paris
631,17183,49.3285;1.4215,Europe/Paris
632,17189,50.4915;3.2515,Europe/Paris
633,17196,50.5905;3.1215,Europe/Paris
634,17200,48.7975;2.1275,Europe/Paris
635,17202,48.9385;2.5675,Europe/Paris
636,17204,45.7595;4.8375,Europe/Paris
637,17207,48.6405;4.9475,Europe/Paris
638,17208,48.8915;2.8275,Europe/Paris
639,17209,45.7515;4.8475,Europe/Paris
640,17211,47.8775;1.8775,Europe/Paris
641,17212,43.5685;1.4675,Europe/Paris
642,17214,48.7895;2.6175,Europe/Paris
643,17217,45.6105;5.7375,Europe/Paris
644,17220,50.6475;3.0285,Europe/Paris
645,17221,43.6175;3.8485,Europe/Paris
646,17225,48.7995;2.2585,Europe/Paris
647,17227,45.0605;-0.7015,Europe/Paris
648,17228,49.2415;2.4585,Europe/Paris
649,17233,44.6085;4.8185,Europe/Paris
650,17236,43.3705;5.6385,Europe/Paris
651,17237,45.2705;1.3985,Europe/Paris
652,17238,46.2615;5.6585,Europe/Paris
653,17241,47.9075;2.1095,Europe/Paris
654,17243,45.7485;4.8895,Europe/Paris
655,17245,47.9195;1.9195,Europe/Paris
656,17247,48.8605;2.3495,Europe/Paris
657,17250,50.6775;10.9195,Europe/Berlin
658,17252,51.4885;10.0895,Europe/Berlin
659,17253,45.1885;5.7295,Europe/Paris
660,17262,48.9585;-0.3995,Europe/Paris
661,17273,43.4585;5.4705,Europe/Paris
662,17276,48.9105;2.2905,Europe/Paris
663,17278,43.6015;1.4105,Europe/Paris
664,17279,48.2115;-1.5095,Europe/Paris
665,17283,52.7785;6.9315,Europe/Amsterdam
666,17302,48.8485;2.3575,Europe/Paris
667,17327,45.4505;4.3785,Europe/Paris
668,17329,33.6415;-117.8815,America/Los_Angeles
669,17342,50.4085;4.5095,Europe/Brussels
670,17348,48.6715;2.0495,Europe/Paris
671,17349,43.6115;1.4495,Europe/Paris
672,17373,44.3285;4.6305,Europe/Paris
673,17375,43.6595;5.0905,Europe/Paris
674,17380,51.4775;-0.9885,Europe/London
675,17389,43.1315;5.9115,Europe/Paris
676,17390,50.7075;4.3815,Europe/Brussels
677,17392,51.9585;-0.4885,Europe/London
678,17393,48.8285;2.5115,Europe/Paris
679,17394,50.7395;4.9015,Europe/Brussels
680,17397,43.4905;5.3515,Europe/Paris
681,17410,38.8375;-77.1525,America/New_York
682,17483,47.6085;-122.3285,America/Los_Angeles
683,17543,48.0685;-2.8805,Europe/Paris
684,17555,48.8195;2.4795,Europe/Paris
685,17569,48.6415;6.0505,Europe/Paris
686,17570,48.8575;2.3805,Europe/Paris
687,17766,51.5905;4.6705,Europe/Amsterdam
688,17799,52.4915;13.4215,Europe/Berlin
689,17934,50.7995;4.4185,Europe/Brussels
690,17984,52.0995;5.2215,Europe/Amsterdam
